sample,feature,output_param,shap_value,feature_value
0,0,$\Omega_m$,-0.0049998102657264065,-0.2506109
0,1,$\Omega_m$,0.0012148611945546524,-0.14248012
0,2,$\Omega_m$,0.002903244591240454,-0.27320316
0,3,$\Omega_m$,-0.0012329179856654566,-0.37107033
0,4,$\Omega_m$,-0.0036538030519538225,-0.10606741
0,5,$\Omega_m$,0.006903477698858018,-0.0055562477
0,6,$\Omega_m$,0.006139074185436272,-0.26776826
0,7,$\Omega_m$,0.002754936492662332,0.003211399
0,8,$\Omega_m$,-0.01301033557344151,-0.0073787486
0,9,$\Omega_m$,-0.024107826232211676,0.21106774
0,10,$\Omega_m$,-0.01049685988555816,0.22608761
0,11,$\Omega_m$,0.010714453448696684,0.38804448
0,12,$\Omega_m$,0.024538882736524104,0.37169704
0,13,$\Omega_m$,0.00616425623639467,0.1307843
0,14,$\Omega_m$,0.017711013044269457,0.34330237
0,15,$\Omega_m$,-0.002517505496507514,0.60899895
0,16,$\Omega_m$,-0.021650604238287397,0.58769417
0,17,$\Omega_m$,-0.09135425305811318,0.80745584
0,18,$\Omega_m$,-0.08717210073571548,0.6971049
0,19,$\Omega_m$,-0.06536837608509811,0.7170387
0,20,$\Omega_m$,-0.008308435983781245,0.66899604
0,21,$\Omega_m$,0.016786637909924573,0.7339954
0,22,$\Omega_m$,0.05761060938549537,0.6319427
0,23,$\Omega_m$,0.057600928099867214,0.7461566
0,24,$\Omega_m$,0.04989669967947217,0.7530834
0,25,$\Omega_m$,0.050583714928565456,0.78283995
0,26,$\Omega_m$,0.03536321598042074,0.79512376
0,27,$\Omega_m$,-0.004947537205686507,0.8107408
0,28,$\Omega_m$,-0.030818825568823437,0.8052894
0,29,$\Omega_m$,-0.03855283205707868,0.75713164
0,30,$\Omega_m$,-0.023106043028140743,0.7843048
0,31,$\Omega_m$,-0.0026303797784203165,0.7715337
0,32,$\Omega_m$,0.02011815294356591,0.7599228
0,33,$\Omega_m$,0.04718620549188927,0.7482715
0,34,$\Omega_m$,0.028715646418471213,0.8231842
0,35,$\Omega_m$,0.03486340459659307,0.78800535
0,36,$\Omega_m$,0.053855329934643426,0.7352105
0,37,$\Omega_m$,0.016955985147800084,0.7718552
0,38,$\Omega_m$,0.015579148048806621,0.77799755
0,39,$\Omega_m$,-0.010660243836076305,0.80616087
0,40,$\Omega_m$,-0.006922098935659334,0.78124714
0,41,$\Omega_m$,0.00037279916557962184,0.80740154
0,42,$\Omega_m$,-0.0034783238695430077,0.78859395
0,43,$\Omega_m$,0.012104913032720424,0.7673748
0,44,$\Omega_m$,0.013841365109607678,0.7515758
0,45,$\Omega_m$,0.010504526279643545,0.7867692
0,46,$\Omega_m$,0.016679853984326937,0.7708498
0,47,$\Omega_m$,0.018857938687748783,0.8119893
0,48,$\Omega_m$,0.015438076602392076,0.7819461
0,49,$\Omega_m$,0.014372317714611818,0.75828403
0,50,$\Omega_m$,-0.0008457164079201477,0.78409326
0,51,$\Omega_m$,0.012247902382902465,0.7633391
0,52,$\Omega_m$,0.012258877206574342,0.7595388
0,53,$\Omega_m$,0.008761834314791475,0.78074104
0,54,$\Omega_m$,-0.0003866318554961723,0.7611724
0,55,$\Omega_m$,0.010731893149883645,0.79437166
0,56,$\Omega_m$,0.001987078187570055,0.775841
0,57,$\Omega_m$,0.0066274994708025265,0.75776976
0,58,$\Omega_m$,0.0057661706962001775,0.792754
0,59,$\Omega_m$,-0.004042606560542478,0.7873043
0,60,$\Omega_m$,-0.00195639996964019,0.820409
0,61,$\Omega_m$,0.0034101955419767738,0.768182
0,62,$\Omega_m$,0.003444842636430014,0.78264564
0,63,$\Omega_m$,-0.009513341341322923,0.8065695
0,64,$\Omega_m$,-0.0023721023411781097,0.7998791
0,65,$\Omega_m$,-0.0158800450025592,0.7839606
0,66,$\Omega_m$,-0.010225737814907923,0.7699497
0,67,$\Omega_m$,-0.0054192770098840755,0.8103208
0,68,$\Omega_m$,-0.016490926179552234,0.80403125
0,69,$\Omega_m$,-0.017466927596433406,0.78972465
0,70,$\Omega_m$,-0.021105516579288313,0.82063013
0,71,$\Omega_m$,-0.01634094943399153,0.82169193
0,72,$\Omega_m$,-0.008899298165245753,0.80646694
0,73,$\Omega_m$,-0.01560221333483545,0.8011778
0,74,$\Omega_m$,-0.030725097172393495,0.8081406
0,75,$\Omega_m$,-0.019368379109534244,0.81342715
0,76,$\Omega_m$,-0.02740414811121203,0.82032514
0,77,$\Omega_m$,-0.017948771137729042,0.83612204
0,78,$\Omega_m$,-0.026466936538442204,0.82935506
1,0,$\Omega_m$,-0.0011250227782875673,-0.46913788
1,1,$\Omega_m$,0.0002113451692275503,-0.4457752
1,2,$\Omega_m$,0.020165649620660874,-0.76966786
1,3,$\Omega_m$,-0.0047330604136610705,-0.37431332
1,4,$\Omega_m$,-0.010430446554673825,-0.40089044
1,5,$\Omega_m$,-0.009742197675004708,-0.5327655
1,6,$\Omega_m$,0.0034145779896061954,-0.70719063
1,7,$\Omega_m$,0.00664471496245823,-0.3962393
1,8,$\Omega_m$,0.05175793491769582,-0.7375914
1,9,$\Omega_m$,0.03343173454544739,-0.44876394
1,10,$\Omega_m$,0.0232213811499969,-0.47808307
1,11,$\Omega_m$,0.006672093136391295,-0.34097055
1,12,$\Omega_m$,0.0032968427500842854,0.13579611
1,13,$\Omega_m$,-0.023743162170673394,-0.2638233
1,14,$\Omega_m$,-0.027320615162704304,-0.25876153
1,15,$\Omega_m$,-0.016174228341163426,-0.0723053
1,16,$\Omega_m$,-0.005797799436598611,-0.2457533
1,17,$\Omega_m$,0.03956890513033917,-0.4705756
1,18,$\Omega_m$,0.024716981696741015,-0.24550399
1,19,$\Omega_m$,0.026322140877600764,-0.120899245
1,20,$\Omega_m$,-5.890895069277091e-06,0.065850265
1,21,$\Omega_m$,-0.007114425886732815,0.15552174
1,22,$\Omega_m$,0.008398343850858506,0.38106322
1,23,$\Omega_m$,-0.012852367681916823,-0.05356504
1,24,$\Omega_m$,0.0055483151840356555,0.13109854
1,25,$\Omega_m$,0.00977498490984241,0.11132059
1,26,$\Omega_m$,0.005938627090460298,0.13804618
1,27,$\Omega_m$,0.00435685730539261,0.106116004
1,28,$\Omega_m$,0.0028238041993851604,0.16180453
1,29,$\Omega_m$,0.0063306719492296215,0.26603824
1,30,$\Omega_m$,-0.001060183657488491,0.17677812
1,31,$\Omega_m$,-0.002902789464472653,0.22693071
1,32,$\Omega_m$,-0.0033697200223105073,0.20862868
1,33,$\Omega_m$,0.017170066493078274,0.26928446
1,34,$\Omega_m$,0.009072912345582163,0.15014765
1,35,$\Omega_m$,0.029784390167333225,0.26308134
1,36,$\Omega_m$,0.015283924965187925,0.188924
1,37,$\Omega_m$,0.01186560080658336,0.22383454
1,38,$\Omega_m$,0.011258354592137051,0.2938352
1,39,$\Omega_m$,0.005400089007647074,0.29548267
1,40,$\Omega_m$,0.004045223949700194,0.29383305
1,41,$\Omega_m$,0.00027329195427835035,0.31470424
1,42,$\Omega_m$,0.0006643827950271464,0.3644577
1,43,$\Omega_m$,0.004717227818861515,0.36249456
1,44,$\Omega_m$,0.004434291616392638,0.31360817
1,45,$\Omega_m$,-0.000503396562223026,0.368525
1,46,$\Omega_m$,0.0002632613008124081,0.38551506
1,47,$\Omega_m$,0.011413834764001282,0.3926264
1,48,$\Omega_m$,0.00941490586963481,0.34529066
1,49,$\Omega_m$,0.0067094075330532965,0.42085403
1,50,$\Omega_m$,0.0016026096882705936,0.3861509
1,51,$\Omega_m$,-0.0013607424431635688,0.4373586
1,52,$\Omega_m$,0.004206913971429471,0.42037833
1,53,$\Omega_m$,0.007688421178609128,0.458565
1,54,$\Omega_m$,0.0019241368405831238,0.4383926
1,55,$\Omega_m$,0.003192148249557547,0.42041972
1,56,$\Omega_m$,0.0012488338428859787,0.4731379
1,57,$\Omega_m$,0.0009071070960877947,0.43874335
1,58,$\Omega_m$,0.0018598918905869677,0.44001445
1,59,$\Omega_m$,-0.0006174513298780604,0.4250507
1,60,$\Omega_m$,0.002227529654434577,0.4610242
1,61,$\Omega_m$,0.0032716496370267154,0.4387353
1,62,$\Omega_m$,0.0028465048906703982,0.43220025
1,63,$\Omega_m$,-0.0038922741993883494,0.4604453
1,64,$\Omega_m$,-0.009140505351339617,0.43077534
1,65,$\Omega_m$,0.0019452369566230476,0.46122622
1,66,$\Omega_m$,-0.008619440076775694,0.4441456
1,67,$\Omega_m$,-0.0069375075753972115,0.47361162
1,68,$\Omega_m$,-0.01274759479099885,0.44405183
1,69,$\Omega_m$,-0.014449115610962793,0.45104071
1,70,$\Omega_m$,-0.007789794782681075,0.46424496
1,71,$\Omega_m$,-0.01038116076185061,0.49110585
1,72,$\Omega_m$,-0.01859882538362097,0.46920437
1,73,$\Omega_m$,-0.00917273524411332,0.4917609
1,74,$\Omega_m$,-0.014286125674310193,0.48743948
1,75,$\Omega_m$,-0.011328087640795273,0.45642367
1,76,$\Omega_m$,-0.007843504579504926,0.47097868
1,77,$\Omega_m$,-0.01632278504160541,0.47469094
1,78,$\Omega_m$,-0.0015974076351267426,0.47058773
2,0,$\Omega_m$,0.009117776012484086,0.66595
2,1,$\Omega_m$,0.018735544272543234,0.9406934
2,2,$\Omega_m$,-0.0041894634721878305,0.5029609
2,3,$\Omega_m$,0.003568793721795684,0.5568108
2,4,$\Omega_m$,0.00018936121836303962,0.9043324
2,5,$\Omega_m$,0.007182027888678316,0.5158945
2,6,$\Omega_m$,0.0065672294174631595,0.19167106
2,7,$\Omega_m$,0.0017860118920604295,0.35210553
2,8,$\Omega_m$,-0.028774664682957026,0.60168374
2,9,$\Omega_m$,-0.038487257974387214,0.65122944
2,10,$\Omega_m$,-0.013571380736927199,0.7789802
2,11,$\Omega_m$,0.007651829257004768,0.18060757
2,12,$\Omega_m$,-0.006898027169518164,-0.067767106
2,13,$\Omega_m$,-0.027738075854722415,-0.45929936
2,14,$\Omega_m$,-0.03619468688964843,-0.697025
2,15,$\Omega_m$,-0.03297550536633934,-0.7191511
2,16,$\Omega_m$,0.002735702140366054,-0.28648397
2,17,$\Omega_m$,0.027480067197466273,-0.2886091
2,18,$\Omega_m$,-0.003955990484294796,-0.15574805
2,19,$\Omega_m$,0.012116153851869363,-0.085993595
2,20,$\Omega_m$,0.01571055258236205,-0.5922912
2,21,$\Omega_m$,0.0069401088035859525,-0.7162684
2,22,$\Omega_m$,-0.036166063342413214,-0.8667599
2,23,$\Omega_m$,-0.05132601222908609,-0.8310767
2,24,$\Omega_m$,-0.07277608538390874,-0.773277
2,25,$\Omega_m$,-0.03744159701416114,-0.75331974
2,26,$\Omega_m$,-0.010845219593708563,-0.5371814
2,27,$\Omega_m$,0.015438127677625748,-0.4913671
2,28,$\Omega_m$,0.02863397860511517,-0.5668525
2,29,$\Omega_m$,0.018113704188751096,-0.61550057
2,30,$\Omega_m$,0.03603158533040187,-0.60676694
2,31,$\Omega_m$,0.01867480817056882,-0.6869806
2,32,$\Omega_m$,-0.008458090140484265,-0.6713751
2,33,$\Omega_m$,-0.022538544007696445,-0.5902497
2,34,$\Omega_m$,-0.016254809239423285,-0.5808129
2,35,$\Omega_m$,-0.030912227348890143,-0.5891841
2,36,$\Omega_m$,-0.03202184489685654,-0.550946
2,37,$\Omega_m$,-0.0031847844310194293,-0.5167457
2,38,$\Omega_m$,-9.933262057684744e-06,-0.6239682
2,39,$\Omega_m$,0.00963612901279702,-0.5633176
2,40,$\Omega_m$,0.01086173710389024,-0.5441904
2,41,$\Omega_m$,0.01370741427682029,-0.58856726
2,42,$\Omega_m$,0.016045249329181385,-0.60717326
2,43,$\Omega_m$,-0.009058413530556203,-0.5909524
2,44,$\Omega_m$,-0.005299966441737844,-0.554752
2,45,$\Omega_m$,-0.00853042234278594,-0.55897766
2,46,$\Omega_m$,-0.004420510679483426,-0.55975384
2,47,$\Omega_m$,-0.013636843050674854,-0.5847456
2,48,$\Omega_m$,-0.009079497787558172,-0.59807605
2,49,$\Omega_m$,-0.002619297527768752,-0.58052784
2,50,$\Omega_m$,0.004634438579766226,-0.60635734
2,51,$\Omega_m$,-0.00014234798339506083,-0.63429195
2,52,$\Omega_m$,-0.003906473739116341,-0.5963036
2,53,$\Omega_m$,0.0021349827875383107,-0.5833979
2,54,$\Omega_m$,-0.0001281745097245953,-0.5848376
2,55,$\Omega_m$,-0.0068480291815164185,-0.5740271
2,56,$\Omega_m$,0.0001350416396356524,-0.59528565
2,57,$\Omega_m$,-0.008913177485034502,-0.64850897
2,58,$\Omega_m$,-0.0025939574145013716,-0.58075017
2,59,$\Omega_m$,-0.0008158442678783776,-0.58098626
2,60,$\Omega_m$,0.00043828046550820066,-0.6137872
2,61,$\Omega_m$,-0.004160678289675451,-0.6104954
2,62,$\Omega_m$,-0.0029294899765712618,-0.6116497
2,63,$\Omega_m$,0.002516351776818429,-0.59443355
2,64,$\Omega_m$,0.00040392604319398434,-0.6173801
2,65,$\Omega_m$,-0.008139246425901853,-0.58460593
2,66,$\Omega_m$,0.005032464463923437,-0.6046233
2,67,$\Omega_m$,-0.004246420398121699,-0.6223675
2,68,$\Omega_m$,-0.00401210785049443,-0.6180638
2,69,$\Omega_m$,0.008732920203668365,-0.6352823
2,70,$\Omega_m$,0.0021635473620457146,-0.6231716
2,71,$\Omega_m$,0.00451103355192269,-0.6509894
2,72,$\Omega_m$,0.02040613249055848,-0.634655
